cluster_id,size,entities_sample,entity_count
11,49,"10098#Agent700-20,11964170#Agent600-32,589409#Agent600-22,13793282#Agent600-30,1238655#Agent700-25...",49
7,36,"4839282#Agent600-24,542769#Agent100-17,8868705#Agent600-24,6307481#Agent600-18,1000632#Agent600-22...",36
1,35,"1219729#Agent600-21,7680682#Agent600-17,389509#Agent600-29,3852936#Agent600-22,5249325#Agent600-20...",35
12,33,"1039598#Hub240-19-Agent,548093#Agent100-18,1540#Agent600-23,555831#Agent600-23,6269445#Agent100-15...",33
10,31,"6767589#Agent600-20,992134#Agent600-25,5556606#Agent600-21,730447#Agent600-24,9574832#Agent600-23...",31
9,31,"4277395#Agent100-13,8476740#Agent100-13,14916436#Agent100-11,2982011#Agent600-21,9590880#Agent100-11...",31
0,28,"15447780#Agent600-24,15480941#Agent600-29,15456413#Agent600-28,1433112#Agent600-24,15460082#Agent600-27...",28
8,26,"7305816#Agent700-19,1437450#Agent100-14,2037119#Agent100-12,15468146#Agent100-11,3120884#Agent100-10...",26
23,25,"12292016#Agent100-12,7695158#Agent600-23,7478329#Agent692-24,7478329#Agent100-12,6283035#Agent100-13...",25
13,25,"8985148#Agent100-10,3958343#Agent600-24,3958343#Agent600-25,1397480#Agent100-14,1215270#Agent700-20...",25
4,24,"2955895#Agent100-13,6063389#Agent100-13,6063381#Agent100-13,6072912#Agent100-13,6063385#Agent100-15...",24
15,24,"7266385#Agent100-11,8595987#Agent100-9,2722675#Agent100-12,9500862#Agent100-11,9506369#Hub240-12-Agent...",24
3,20,"6540015#Agent100-14,3455085#Agent700-18,1179357#Agent100-13,597216#Hub240-14-Agent,8331885#Agent700-24...",20
14,18,"14742813#Agent600-24,1178247#Agent600-23,4206841#Agent692-20,58375#Agent600-21,1200770#Agent100-15...",18
6,17,"117097#Agent600-20,13933222#Agent100-10,123229#Agent600-20,2754599#Agent100-12,13932577#Agent700-33...",17
20,16,"284546#Agent100-10,588507#Agent100-15,3233133#Agent600-23,9977922#Agent600-30,2085426#Agent600-20...",16
29,14,"9795092#Agent600-20,14423149#Agent600-18,580180#Agent600-19,3518046#Agent600-40,9795092#Agent600-19...",14
22,14,"7270134#Agent100-11,7266295#Agent100-11,15440277#Agent700-26,7355028#Agent100-11,15440277#Agent100-12...",14
5,13,"15857044#Agent600-27,7251915#Agent100-11,7251908#Agent100-11,1167689#Agent600-21,7265323#Agent100-11...",13
33,10,"10705229#Agent600-20,10667930#Agent600-20,10648396#Agent600-19,10658209#Agent600-19,10653802#Agent600-20...",10
2,10,"1513382#Agent100-12,14084691#Agent600-23,3652425#Agent700-17,10575505#Agent600-16,5906203#Agent600-19...",10
19,10,"4242131-14af524c-3d45-4f74-a961-7a7c086c80fb#http://id.loc.gov/rwo/agents/n79041680,4593649#Agent100-12,16042848-d6085b93-08e0-4343-861d-65cea8dc0751#http://id.loc.gov/rwo/agents/n85352581,649591#Agent600-21,6255540#Agent600-22...",10
32,10,"15462485#Agent100-11,15505854#Agent100-11,15392569#Agent100-11,15462492#Agent100-11,15874976#Agent100-10...",10
26,9,"3643518#Agent700-22,7322249#Agent100-11,7269065#Agent100-11,4914754#Agent700-40,7322248#Agent100-11...",9
27,8,"5444668#Agent700-45,9883626-611ca367-84bf-42cd-b94b-01803507af2d#http://id.loc.gov/rwo/agents/n80126106,9883626-35e9cce9-68f2-42ac-a1ed-8edfd25cdaa3#http://id.loc.gov/rwo/agents/n80126106,9856120#Agent692-40,9884710-b08a31bb-0b25-4237-b4e7-77ce67dfb883#http://id.loc.gov/rwo/agents/n80126106...",8
21,7,"10965392#Agent700-32,11009041#Agent700-26,10981265#Agent700-29,10965981#Agent700-33,10995602#Agent700-30...",7
35,6,"15485061#Agent100-11,7333831#Agent100-11,15485061#Hub240-12-Agent,1259648#Agent100-13,1259646#Agent700-33...",6
30,5,"11312107-a34f5b74-01a1-4b08-a7f2-a6626909c7c0#http://id.loc.gov/rwo/agents/no97004468,11312107-1ac7f12a-63e4-4edf-bda9-84281acf0a58#http://id.loc.gov/rwo/agents/n81100991,13838305-a662d90a-2ce1-4f26-b1b0-177a967a4ebf#http://id.loc.gov/rwo/agents/n86107150,11312107-284cac80-536b-4960-a4f2-6a41c6aca056#http://id.loc.gov/rwo/agents/n79003847,11312107-401e1873-a71e-4be0-b33d-c0e8a123662b#http://id.loc.gov/rwo/agents/no97074454",5
18,4,"3611491-37f7eb52-4ab1-4eaf-983a-0d1aa44a9b16#http://id.loc.gov/rwo/agents/n50022330,183486#Agent600-16,11181487#Agent600-19,11181487#Agent100-13",4
41,4,"1242933#Agent700-31,11759409#Agent600-17,4293769#Agent100-12,4293769#Agent600-19",4
40,4,"3193998#Agent100-10,1268837#Agent700-19,3197663#Agent100-10,1339998#Agent100-13",4
34,4,"9501350#Agent700-25,1559476#Agent100-14,9501350#Agent700-22,7399951#Agent100-10",4
28,4,"15460269#Agent700-27,15460269#Agent100-11,1428277#Agent700-24,1428277#Agent100-14",4
31,3,"1283432#Agent100-13,1415373#Agent100-14,1413631#Agent600-25",3
17,3,"5427012#Agent100-13,9451353#Agent100-9,12264451#Agent100-14",3
25,2,"7950503#Agent600-37,9877781#Agent600-31",2
24,2,"9502611#Agent600-41,10220243#Agent600-29",2
36,2,"1620940#Agent600-24,1620940#Agent600-23",2
37,2,"2840729#Agent600-22,5455073#Agent600-19",2
38,2,"2355143#Agent700-21,2355143#Agent600-19",2
39,2,"3153456#Agent600-16,1341353#Agent600-21",2
16,2,"5332400#Agent600-20,15960464#Agent100-15",2
42,2,"3962535#Agent100-10,5610980#Agent700-23",2
43,2,"10833844#Agent600-21,10833844#Agent600-20",2
44,2,"10791434#Agent600-24,10791434#Agent600-23",2
