cluster_id,entity_id,position_in_cluster,cluster_size,cluster_density
0,15447780#Agent600-24,1,28,1.0
0,15480941#Agent600-29,2,28,1.0
0,15456413#Agent600-28,3,28,1.0
0,1433112#Agent600-24,4,28,1.0
0,15460082#Agent600-27,5,28,1.0
0,15503341#Agent600-29,6,28,1.0
0,1193607#Agent100-13,7,28,1.0
0,15498234#Agent700-32,8,28,1.0
0,1430924#Agent600-22,9,28,1.0
0,1414885#Agent600-22,10,28,1.0
0,15445540#Agent600-28,11,28,1.0
0,3110983#Agent600-17,12,28,1.0
0,7282512#Agent100-11,13,28,1.0
0,4184084#Agent600-21,14,28,1.0
0,5675821#Agent600-16,15,28,1.0
0,15431400#Agent100-11,16,28,1.0
0,1527347#Agent600-25,17,28,1.0
0,1264771#Agent600-20,18,28,1.0
0,1419226#Agent600-22,19,28,1.0
0,15505014#Agent700-31,20,28,1.0
0,1527347#Agent600-24,21,28,1.0
0,15517807#Agent600-25,22,28,1.0
0,809971#Agent600-22,23,28,1.0
0,1337407#Agent600-19,24,28,1.0
0,14490164#Agent600-20,25,28,1.0
0,1419226#Agent100-14,26,28,1.0
0,15477561#Agent600-28,27,28,1.0
0,15520065#Agent600-28,28,28,1.0
1,1219729#Agent600-21,1,35,1.0
1,7680682#Agent600-17,2,35,1.0
1,389509#Agent600-29,3,35,1.0
1,3852936#Agent600-22,4,35,1.0
1,5249325#Agent600-20,5,35,1.0
1,7989109#Agent600-19,6,35,1.0
1,5459924#Agent600-25,7,35,1.0
1,389509#Agent600-28,8,35,1.0
1,8515076#Agent600-21,9,35,1.0
1,1219729#Agent700-25,10,35,1.0
1,12300390#Agent600-28,11,35,1.0
1,5407868#Agent600-21,12,35,1.0
1,442183#Agent600-23,13,35,1.0
1,289001#Agent600-22,14,35,1.0
1,14164641#Agent600-16,15,35,1.0
1,14596415#Agent600-41,16,35,1.0
1,359359#Agent600-24,17,35,1.0
1,7989109#Agent600-18,18,35,1.0
1,13683437#Agent600-39,19,35,1.0
1,5459924#Agent600-26,20,35,1.0
1,32685#Agent600-19,21,35,1.0
1,370026#Agent600-21,22,35,1.0
1,370026#Agent600-23,23,35,1.0
1,12300390#Agent600-29,24,35,1.0
1,5249388#Agent600-22,25,35,1.0
1,5459924#Agent600-22,26,35,1.0
1,1219729#Agent600-22,27,35,1.0
1,442183#Agent800-26,28,35,1.0
1,279708#Agent600-21,29,35,1.0
1,3852936#Agent600-23,30,35,1.0
1,370026#Agent600-22,31,35,1.0
1,14596415#Agent600-42,32,35,1.0
