hash,string,length,frequency,field_count
d2305c942afb60a38005c8e4ead4da53,"Subject: Joyce, James, 1882-1941
Title: The cast of characters: a reading of Ulysses
Attribution: Paul Schwaber
Subjects: Joyce, James, 1882-1941. Ulysses; Joyce, James, 1882-1941--Knowledge--Psychology; Psychological fiction, English--History and criticism; Characters and characteristics in literature; Psychoanalysis and literature--Ireland; Psychology in literature; Ireland--In literature; Joyce, James, 1882-1941 Ulysses; Joyce, James, 1882-1941--Et la psychologie; Ulysses (Joyce, James); Literature; Psychoanalysis and literature; Psychological fiction, English; Ireland; Joyce, James 1882-1941 Ulysses; Ulysses; Joyce, James
Genres: Criticism, interpretation, etc.
Provision information: New Haven: Yale University, ©1999",730,4,4
9e16290602bfd86b39484d56e6de3adf,"Subject: Mauriac, François, 1885-1970
Title: Images et spiritualité dans l'œuvre romanesque de François Mauriac: Le baiser au lépreux, Génétrix [i.e. Génitrix], La pharisienne : essai
Attribution: Michel Bonte
Subjects: Mauriac, François, 1885-1970--Literary style; Mauriac, François, 1885-1970. Baiser au lépreux; Mauriac, François, 1885-1970. Génitrix; Mauriac, François, 1885-1970. Pharisienne
Provision information: Paris: Pensée universelle, c1981",466,4,4
83a94e5efd5110cdfa74e5913f517b1c,"Subject: Browning, Elizabeth Barrett, 1806-1861
Title: The Browning collections: Catalogue of oil paintings, drawings & prints; autograph letters and manuscripts; books; statuary, furniture, tapestries, and works of art; the property of R. W. Barrett Browning, esq.(deceased) ... including many relics of his parents, Robert and Elizabeth Barrett Browning. Which will be sold by auction, by Messers. Sotheby, Wilkinson & Hodge
Subjects: Browning, Robert, 1812-1889--Art--Catalogs; Art--Catalogs; Manuscripts--Catalogs; Autographs--Collections; Books--Owners' marks; Browning, Robert, 1812-1889--Manuscripts--Catalogs; Browning, Robert, 1812-1889--Autographs--Collections; Browning, Elizabeth Barrett, 1806-1861--Manuscripts--Catalogs; Browning, Elizabeth Barrett, 1806-1861--Autographs--Collections; Browning, Robert, 1812-1889
Provision information: [London]: Dryden press: J. Davy and sons, [1913]",899,3,3
7fa312460b10c958530e624ffba8db75,"Subject: Spencer, Herbert, 1820-1903
Title: Herbert Spencer: Un évolutionniste contre l'étatisme
Attribution: Yvan Blot
Subjects: Spencer, Herbert, 1820-1903--Contributions in political science; Spencer, Herbert, 1820-1903--Criticism and interpretation; Social evolution
Provision information: Paris: Belles lettres, 2007",323,3,3
8206b11a0117833b101a0183908999ee,"Subject: Cooper, James Fenimore, 1789-1851
Title: The lasting of the Mohicans: history of an American myth
Attribution: Martin Barker and Roger Sabin
Subjects: Cooper, James Fenimore, 1789-1851. Last of the Mohicans; United States--History--French and Indian War, 1755-1763--Literature and the war; Cooper, James Fenimore, 1789-1851--Appreciation--United States; Cooper, James Fenimore, 1789-1851--Film and video adaptations; Historical fiction, American--History and criticism; Literature and society--United States--History; Popular culture--United States--History; Mohegan Indians in literature; Social values in literature; Myth in literature; Canon (Literature)
Provision information: Jackson, Ms: University Press of Mississippi, 1996",740,3,3
2dfa745c3c603c6ef73522f71e3fd927,"Subject: Hogarth, William, 1697-1764
Title: Hogarth and Europe
Attribution: edited by Alice Insley and Martin Myrone ; contributions by Sonia E. Barrett, Josephina de Fouw, Meredith Gamer, Cora Gilroy-Ware, Lubaina Himid, Alice Insley, Paul Knolle, Gerhard de Kok, Martin Myrone, Temi Odumosu, Stacey Sloboda, Lars Tharp, Hannah Williams and Jonny Yarker
Subjects: Hogarth, William, 1697-1764--Exhibitions; Hogarth, William, 1697-1764--Criticism and interpretation; Hogarth, William, 1697-1764--Influence; Art, European--18th century--Exhibitions; Art, European; Influence (Literary, artistic, etc.); 1700-1799
Genres: Catalogs; exhibition catalogs; Criticism, interpretation, etc.
Provision information: London: Tate Publishing, 2021; New York, NY: ABRAMS",756,3,3
aa89d70fa7beaa7cc75d384e4ab2d7c7,"Subject: Joyce, James, 1882-1941
Title: James Joyce's techno-poetics
Attribution: Donald F. Theall
Subjects: Joyce, James, 1882-1941--Technique; Joyce, James, 1882-1941. Finnegans wake; Joyce, James, 1882-1941. Ulysses; Literature and technology--Ireland--History--20th century; Modernism (Literature)--Ireland; Fiction--Technique
Provision information: Toronto, [Ontario]; Buffalo, [New York]; London, [England]: University of Toronto Press, 1997",447,3,3
df104fffc3a99a44d6b78788f5770bb0,"Subject: Faulkner, William, 1897-1962
Title: Faulkner studies in Japan
Attribution: compiled by Kenzaburo Ohashi & Kiyoyuki Ono ; edited by Thomas L. McHaney
Subjects: Faulkner, William, 1897-1962--Criticism and interpretation; Faulkner, William, 1897-1962--Influence; Faulkner, William, 1897-1962--Appreciation--Japan
Provision information: Athens: University of Georgia Press, c1985",384,3,3
3fa18419757596d7dcc1ae35bd1a3092,"Subject: Lucan, 39-65
Title: Lucans poetische Technik: Studien zum historischen Epos
Attribution: von Jan Radicke
Subjects: Lucan, 39-65--Technique; Rome--History--Civil War, 49-45 B.C.--Literature and the war; Epic poetry, Latin--History and criticism; Lucan, 39-65. Pharsalia; Rhetoric, Ancient
Provision information: Leiden; Boston: Brill, 2004",347,3,3
dccbce48995f7f5777850f1e845be555,"Subject: Faulkner, William, 1897-1962
Title: William Faulkner: une vie en romans : biographie
Attribution: André Bleikasten
Subjects: Faulkner, William, 1897-1962--Criticism and interpretation
Provision information: [Croissy-Beaubourg]: Aden, c2007",249,2,2
c8089523919aad1f04be76564c78c672,"Contributor: Butler, John
Title: The political fugitive: being a brief disquisition into the modern system of British politics; and the unparalleled rigor of political persecution: : together with several miscellaneous observations on the abuses and corruptions of the English government. : Written during a voyage from London to New-York.
Attribution: By John Butler, author of several political tracts in England. ; [Six lines of verse]
Subjects: Great Britain--Politics and government--18th century
Provision information: New-York--: M.DCC.XCIV.--Printed by Thomas Greenleaf, for the author.--, [1794]",604,2,2
ef182f8b7e05ba6aaaa2f353197dfefd,"Contributor: Frost, Robert, 1874-1963
Title: In memory of Robert Frost, March 26, 1874--January 29, 1963
Subjects: Frost, Robert, 1874-1963
Provision information: Amherst, Mass: 1963",182,2,2
97fc60459157bf48e74cc170e0957538,"Subject: Hoadly, Benjamin, 1676-1761
Title: A report of the committee of the Lower House of Convocation appointed to draw up a representation to be laid before the arch-bishop and bishops of the Province of Canterbury: concerning several dangerous positions and doctrines contained in the Bishop of Bangor's Preservative and his sermon preach'd March 31, 1717 ...
Subjects: Hoadly, Benjamin, 1676-1761. Nature of the kingdom or church of Christ; Hoadly, Benjamin, 1676-1761. Preservative against the principles and practices of the nonjurors both in church and state; Authority--Religious aspects--Early works to 1800; Church of England--Government; Anglican Communion--Great Britain--Government--Early works to 1800
Provision information: London: Printed for John Morphew ..., 1717",782,2,2
ff2f422cae040f1b5991224828423de,"Subject: Cooper, James Fenimore
Title: Literature in the Early American Republic: annual studies on Cooper and his contemporaries
Variant titles: Literature in the Early American Republic; LEAR
Subjects: Cooper, James Fenimore, 1789-1851--Criticism and interpretation--Periodicals; Cooper, James Fenimore, 1789-1851; Cooper, James Fenimore 1789-1851; Cooper, James Fenimore--Schriftenreihe; Cooper, James Fenimore--Rezeption--Schriftenreihe; 1783-1850; American literature--1783-1850--Periodicals
Provision information: Brooklyn, NY: AMS Press, ©2009-",551,2,2
9e0d306169234ddaf52198ea34a8b81d,"Subject: Faulkner, William, 1897-1962
Title: Faulkner's revision of Absalom, Absalom!: A collation of the manuscript and the published book
Subjects: Faulkner, William, 1897-1962. Absalom, Absalom!; Faulkner, William, 1897-1962--Manuscripts; Manuscripts, American
Provision information: Austin: University of Texas, c1971",321,2,2
