hash,string,length,frequency,field_count
6f1cad26ddb67e25dc50d5c0dec839e6,"Strauss, Richard, 1864-1949",27,76,76
35a217c243d997c799cfc5cc99ede15d,"Cooper, James Fenimore, 1789-1851",33,64,64
b89c3ca9de0e482d7b299b341fc90820,"Schubert, Franz, 1797-1828",26,63,63
92e80cf26926655c1aca6e201d72c6ba,"Joyce, James, 1882-1941",23,46,46
3758ae71a044c3d3d503d56c73b66423,"Hogarth, William, 1697-1764",27,43,42
a8a8c6143c0abf0b3afa47d1281de404,"Lucan, 39-65",12,41,41
99b307884821b64b1a9f84057b766611,"Mauriac, François, 1885-1970",29,39,39
ae3594e695e1cf0751f9c38e262525db,"Hall, Joseph, 1574-1656",23,35,34
e2b4f6c731a7407cd8dc87610a2d2bec,"Bolton, Robert, 1572-1631",25,35,35
1a4fc768630475e77a07a444baa8c4e1,"Baum, L. Frank (Lyman Frank), 1856-1919",39,34,34
a715dd4ebec4df13f249f1729b89dd6d,"Bassett, Leslie, 1923-2016",26,34,34
decc30ea3d1f3b3afc72a4c41b144c9d,"Faulkner, William, 1897-1962",28,33,33
59948a1212b5245a155a282ba55896d8,"Campos, Haroldo de",18,32,32
ed30856d8ac014ae62e2646c81cbb357,"Moncrieff, A. R. Hope (Ascott Robert Hope), 1846-1927",53,32,32
4a19faa9a2a0fa65ace37f38f6a4ee6f,"Owen, Robert, 1771-1858",23,32,31
79102f4f34b9da61fa9a53c154f6dafc,"Priestley, Joseph, 1733-1804",28,31,30
4b269c257b188c0a25ff46856bf0c6ab,"Steiner, Rudolf, 1861-1925",26,31,31
2ba302dddb31dd0207d2e5e81a03f24c,"Newman, John Henry, 1801-1890",29,31,31
609ee570971d9b0b55249b0223414cfe,"Frost, Robert, 1874-1963",24,31,28
c0782818eea45b5fcb107ed74de80f2e,"Browning, Elizabeth Barrett, 1806-1861",38,31,31
6463453b2a2932313c75c36cd16f6106,"Koch, Robert, 1843-1910",23,30,30
