hash,string,length,frequency,field_count
7b6d0a21374ebe5aec2cfa3ecf5fb0da,"New York: W.A. Townsend and Company, 1859-1861",46,34,34
9f14ad5bee465514bc3f5fa03f122d18,"Marlborough, Wiltshire: Adam Matthew Digital, 2016",50,21,21
4ece7062f6ed544694bd61de5385133e,"[Hamburg]: Deutsche Grammophon Gesellschaft, [1964]",51,15,15
f367e560d6c1b1286ea88a059d4afb56,"Xianggang: Chang xing shu ju, [195-] 香港: 長興書局, [195-]",53,13,13
3b277ccb94981a3d51e0fe30462f38dd,"London: Argo, p1967",19,11,11
f8d9c1c5a165d2af5fcbc13a0bef2adb,"Washington, DC: 1906",20,10,10
170936ffed6b0ce4976d656c594ec0c6,"Edinburgh: William P. Nimmo, 1873",33,9,9
931564691c01b681e23e0ad2b2872411,"Washington, DC: 1904",20,8,8
c612bedb57b826d57262daed245661d,"Milan, Italy: Myto Records, p1994",33,8,8
bde566f5ab50c8a155e35bf264895c71,"Venice, CA: TMW Media Group, 2008",33,6,6
88d864e745d653c3f0f98719900c496a,"Paris: Philips, [196-?]",23,6,6
2a77ed0f970d1f63532ddac205905ae8,"Philadelphia: Printed and sold by William Bradford, at the Sign of the Bible, in Second-Street, MDCCLIII. [1753]",112,6,6
48923770347893f45130469339a35e0,"Washington, D.C.: National Academies Press, c2012",49,6,6
356cb66ac271a8d21b2a224e05b1b75c,"Washington, DC: 1888",20,6,6
38fef54c5c74b29427e2c87c4098547d,"Washington, DC: 1907",20,6,6
6467b527329e92bb3b0427afe92e8bc3,"Hamburg, Germany: Deutsche Grammophon, p2002",44,6,6
f755e3c4b3bf560c7554c057770a9417,"London: Printed for James Collins, and sold by John Courtney bookseller in Sarum, 1672",86,6,6
230e7984ff52e851c80410571183c9c6,"Washington, DC: 1902",20,5,5
11b35a05332730171e96d256a4eaa59c,"New York: Angel, [1965]",23,5,5
3c56bb3ac3ebaef99f8d0100e3cec98b,"[Berlin, Germany]: Deutsche Grammophon, [2005]",46,5,5
4d700e27de634fda2ae82c5fd87d512d,"New York, N.Y.: London, p1994",29,5,5
fb49e75669343d108121eabd71af4a8b,"Washington, DC: 1961",20,5,5
5aec34ab8696799b0c3632b7add191a9,"Hayes, Middlesex, England: EMI, 1989",36,5,5
e920a6cfa527015b28fdb690b0d2e67e,"[S.l.]: Naxos, p2008",20,5,5
e5d562785772e23415fc2bd57fccab1f,"Richmond: Virginia Museum of Fine Arts, 1963",44,5,5
255f15524a8819c8682d8eeefdf91f24,"Venice, CA: TMW Media Group, 2010",33,5,5
87d6e58f8d44453e6194bd0d857d3050,"New Haven: Yale University, ©1999",33,4,4
49277fd2fa5b21e59bcd31899f0bea5c,"Amherst, Mass: 1963",19,4,4
f58c15166f80a9f8632137f828a33e57,"[London]: [Wm. Hogarth], [20 March 1754] [State 3]",50,4,4
9da89cf98b96518487fffaee46bf7198,"[Place of publication not identified]: [publisher not identified], 1927",71,4,4
bba1dd9d637362f004cd76ae3dfaaeb4,"[London]: Printed for William Sheares ..., 1643",47,4,4
e5281214f46a823fecc48fe44336aa67,"London printed: [s.n.], 1642",28,4,4
4041863862b6e94008032fe865cf44bb,"London: Printed by George Miller, 1641",38,4,4
8bca2b8ccf9824806c6f5427b939f29,"Paris: Pensée universelle, c1981",33,4,4
f36060fa397d9be6323d585a4044d25e,"Evanston, Ill: Northwestern University Press, 2007",50,4,4
70f2e6112bcbad38e52dd7d7eb859d05,"Washington, DC: 1968",20,4,4
d894d1e5aa24fa1e9bf1b00efe8506b3,"Washington, DC: 1960",20,4,4
3c1c2f08a38f59f3eb727f02c1357f8d,"London: Tate Publishing, 2021 New York, NY: ABRAMS",50,4,4
dfc28772e2139f23b3b46b682978bca1,"[Richmond]: [s.n.], [1862]",26,4,4
5ba7bd21c5c14bda8f231ffa87556306,"Champaign, Ill: Project Gutenberg Boulder, Colo: NetLibrary, [199-?]",68,4,4
5d7b56f20061aa1bb6fa583f518d8161,"London: Williams and Norgate, 1885",34,4,4
d930538e8a101b448cfc10ef6815079f,"Wien: Wiener Urtext Edition, [2014] Erste Auflage = First edition",65,4,4
a36553030a1af2180dbfa716e5ac1a47,"[Vienna]: Preiser Records, 1995",31,4,4
9550edcc2ea23b5b887b3c44ed71c879,"Porto: ASA, 2004 1a ed.",23,4,4
6f582c3b89e8a06d50a0a8e30c0e5d24,"Washington, DC: 1905",20,4,4
51dd5b9ff4739ff1265229781545fac,"Los Angeles: TMW Media Group, 2010",34,4,4
dbff87eca2e694501843180748d9cb5c,"Washington, DC: 1900",20,4,4
8434d8884e61b8b62ffbaf0179fc3bbc,"Montesson: Éditions Novalis, 1995",34,4,4
de46950cce465b95db591e00e68b72c2,"[London]: [publisher not identified], [1822]",44,4,4
388a664c004a93215fa1eff6b8c30a6f,"Detmold: Musikproduktion Dabringhaus und Grimm, p1995",53,4,4
9b95474e405d44f7b449a46abd674922,"[London]: Dryden press: J. Davy and sons, [1913]",48,3,3
1d41196af84d10f86ae1c77b8f0990ca,"Hartford [Conn.]: Belknap and Hamersley, 1835",45,3,3
ce9cf64479350fb1e62ae35669e0b459,"New York: C.F. Peters, [2010?], c1987.",38,3,3
fd6bb673ff08ef8e464cdfd0d013a86c,"New York, U.S.A.: Columbia, [1929]",34,3,3
3844ce38276c759d4329f761d961dde2,"New York, U.S.A.: Columbia, [1927]",34,3,3
a44f1ac0f2626133c3be6afda073b3ae,"Jackson, Ms: University Press of Mississippi, 1996",50,3,3
38892e305d05b8fcdf3395e195960cdd,"Norfolk, Ct: New Directions, 1938",33,3,3
254b688cf0d443d7aa21678c1a08b774,"Washington, D.C.: National Academies Press, c2011",49,3,3
115693dde3689762415555d17e9870c7,"London: The Egoist Press, [1921]",32,3,3
5f9a43e3687a3f6cc853ee04f26860b3,"Austria: Preiserrecords, p1991",30,3,3
6f8558012381cb825b5f19b80beebe96,"Washington, DC: 1860",20,3,3
d548a5aa0db8096d4b5374aeed04457b,"London: Printed for Thomas Parkhurst, 1684",42,3,3
b1a2f4ad049f6e0af957eb8d95e76a47,"Austin: University of Texas, c1971",34,3,3
d07b123418bc56f97be2491f1d492c5d,"Napoli: Loffredo, 2009",22,3,3
64981ab95ae902c45032bf4e59a1a130,"Washington, DC: 1826",20,3,3
268b05b5f99340465012ba198e0be06d,"New York: C.F. Peters, c1993",28,3,3
867f13c40f9328c85f452a2fb6d21968,"Leipzig: In verlegung Moritz Georg Weidmans erben und Johann Ludwig Gleditsch, 1695",83,3,3
9cd02ba5985fcda40ff95e92d346b7d7,"Shanghai: Zhonghua shu ju, [Min guo 23 i.e. 1934] 上海: 中華書局, [民國23 i.e. 1934] 4 ban 4版",85,3,3
c73153b2ec2e5604267c2afd405212f1,"Philadelphia: D. Rulison, (Stereotyped by D. Hills & Co.), 1858 [c1856]",71,3,3
183ef34381ff11b5960befeb12627ae5,"Venice, CA: TMW Media Group, 2012",33,3,3
bf86954f45ab5207f98ee2b8a85b789f,"[Dublin, Ireland]: The Salvage Press, MMXIII (2013)",51,3,3
18a850e64460f7c685b273f14af8ad12,"Austin: University of Texas Press, [1972]",41,3,3
ccaad399f2405fdcc9ade8083d7ff168,"Oxford: Oxford University Press, 2015 First edition",51,3,3
433f7cf32fabfb4b430e3af2f6285617,"München: Piper, 2003",21,3,3
217b48fe599cbaaef070a66223f32d6e,"Paris: Belles lettres, 2007",27,3,3
6a17fb383c1ff69ebddfdd2e359c6997,"New York: C.F. Peters Corporation, [2016?] Piano reduction",58,3,3
386eb1ecc55d6f5e53c58a9e83f2d1c1,"São Paulo: M. Ohno, 1952-",26,3,3
6f8676c1039bf7ee1f9551cd5e9b9cf8,"Toronto, [Ontario]; Buffalo, [New York]; London, [England]: University of Toronto Press, 1997",93,3,3
65df821fd2659e55cbc7e0b3ef8acf12,"London: Printed for J. Nutt, 1698",33,3,3
a68ad24011dcc0c581003d9dcc99f998,"London: Routledge, 2017",23,3,3
d35525f504227ddb912e29e0900d1014,"商务印书馆, 1936",11,3,3
f58539b69f7d1d0cf65a37076edf069f,"[New York]: ArtistLed, p1997",28,3,3
8ec956e5bafcf906416d2ad964d8e0e7,"Leiden; Boston: Brill, 2004",27,3,3
f4a6fbb104bd2f6f47a26978602ba4dd,"Hyattsville, Md: U.S. Department of Health, Education, and Welfare, Public Health Service, Health Resources Administration, National Center for Health Statistics, 1977",167,3,3
b2d4b1a8ead96026a606916e0487e244,2013,4,3,3
e2ba86db621cc01d8f008c8180ec0f66,"Rockville, Md: U.S. Department of Health, Education, and Welfare, Public Health Service, Health Resources Administration, National Center for Health Statistics, 1975",165,3,3
a31d59275ecd1d22a6d16158854ceb33,"Chicago: Privately printed by L. Frank Baum in his own workshop, 1898",69,3,3
801cc26dde12f85ab0851dfa0b2dec6f,"Brooklyn, NY: AMS Press, ©2009-",31,3,3
349f76c2b0d32d243e761f8e164257c3,"Chicago: The Reilly & Britton Co, [c1910]",41,3,3
ee0a8950c4363f373e5f0462fe0edb4f,"London: Longman, Hurst, Rees, Orme, and Brown [etc., etc.], 1816 2nd ed.",72,3,3
83ea577c239489b4f8730e72e96080d8,"Xining: Qinghai ren min chu ban she, Qinghai sheng xin hua shu dian fa xing, 1988 西宁: 青海人民出版社　, 青海省新華書店发行, 1988 Di 1 ban 第1版．",125,3,3
6e7242b877278b737c5fcc8e92df8305,"Beijing: Zhonghua shu ju, Xin hua shu dian Beijing fa xing suo fa xing, 1981 北京: 中華書局, 新華書店北京发行所发行, 1981 Di 1 ban 第1版",117,3,3
8633bae1e1035594a8cd9b2cd2c80eb4,"New York: C.F. Peters, c1990",28,3,3
4a8d676936957418154f9616cad569c1,London: 1635 3d ed.,19,3,3
961579421b74b1e46bdd5af2a26d5ed2,"[Beijing]; [北京]: [Beijing zhong xian tuo fang ke ji fa zhan you xian gong si], [北京中献拓方科技发展有限公司], [2007], [2007]",111,3,3
2a6cdf443dd98a64b4d63aa9f46aa12,"New York, NY: Mode, p1999",25,3,3
6aae4c67d79a07603b9fe87a51f6c88,"[S.l.]: Breitkopf and Härtel, 1897",35,3,3
41c42696ae3e0129774410a45fbd9a63,"[Place of publication not identified]: Euroarts, 1989",53,3,3
88e2baa0b082f7554cffcfacd88cb788,"England: Decca, 2007, p1976",27,3,3
440dbd7ea64938fc1deaa9a888857729,"[Place of publication not identified]: Bel Air Media, 2020",58,3,3
d99ac5de8311f8ca06a01022e34e4ce0,"[Place of publication not identified]: Colyndra, C major Entertainment GmbH, 2019",81,3,3
f061c349e71c328eacc09ca0d8264b2,"[Place of publication not identified]: RTBF, 2016",49,3,3
c513a8136c804d47ae5634b009b3c126,"Paris: Mazarine, c1984",22,3,3
14db1640a1be4fa7354ff9eac4a46276,"Leipzig: J.A. Barth, 1982",25,3,3
119c76ea7c0ab7973fa4b6b170ff7c82,"Rio de Janeiro: Sette Letras, 1996",34,3,3
607c3cc3dc8fdb56933def98409faa63,"Marlborough, Wiltshire: Adam Matthew Digital, 2012",50,3,3
