hash,string,length,frequency,field_count
3758ae71a044c3d3d503d56c73b66423,"Hogarth, William, 1697-1764",27,43,1
ae3594e695e1cf0751f9c38e262525db,"Hall, Joseph, 1574-1656",23,35,1
32434fb4d3fdafe37f43777f3c6cafc6,"Cole, Philip Gillett--Bookplate; Thomas, Henry A.--Autograph; Dumell, J. S.--Autograph; Pforzheimer, Walter L. (Walter Lionel), 1914-2003--Ownership",148,34,34
4a19faa9a2a0fa65ace37f38f6a4ee6f,"Owen, Robert, 1771-1858",23,32,1
79102f4f34b9da61fa9a53c154f6dafc,"Priestley, Joseph, 1733-1804",28,31,1
609ee570971d9b0b55249b0223414cfe,"Frost, Robert, 1874-1963",24,31,3
9ff19e55bca36ca91fa05a9dbc33f416,"Buchan, John, 1875-1940",23,27,1
2e7c8b57b66a093da3a55ea86b3f55d,"Laud, William, 1573-1645",24,26,1
cf0081fec29f0a341b98e5b1150761a6,concert,7,20,20
874c5ab7296bf41cb60fe53e00f5e8a6,Songs (High voice) with piano,29,18,18
e8ca399167f9f23c9e1aaa8b1c94b943,"Miller, John",12,15,1
a45400c5272398e08a447f76c4503483,文学,2,12,12
59694cc548b540b12e68b334b634fb5e,"Part songs, German; Choruses, Sacred (Mixed voices) with piano; Choruses, Sacred (Men's voices) with piano; Choruses, Sacred (Women's voices) with piano; Choruses, Secular (Men's voices), Unaccompanied; Choruses, Secular (Women's voices) with piano; Choruses, Sacred (Men's voices), Unaccompanied; Psalms (Music)--23rd Psalm",324,11,11
4ca7f23791d06fdcda311ae98654cfe,Children--Conduct of life--Juvenile fiction; Conduct of life--Juvenile fiction; Students--Juvenile fiction; Boarding schools--Juvenile fiction; Children's stories,162,9,9
297199ffecda8551fafae341e571250d,科学与技术,5,9,9
efd44f06946300b0ea467664d8f2e187,Symphonies,10,9,9
f3c324f7042b04fd53fc1732bdb3fa9e,Operas; Songs (High voice) with piano,37,8,8
d95d582109c7fb73eef5f7efa295ac85,"White, Edmund, 1940---Homes and haunts--France--Paris; Paris (France)--Description and travel; Paris (France)--Social life and customs; White, Edmund, 1940---Ownership",167,7,7
3d1a6acaa418e5d161b9b61ff422dfe1,Christian life--Early works to 1800,35,7,7
ef8f9063edc136cdd36b1e764d1157dd,documentaries,13,7,7
e9aad7b34a51f0f249cf3e358e8442c6,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記",117,6,6
61a7a8cdadb7ae0544b2a312accf8f3e,Symphonic poems,15,6,6
a5e110335479ce6849fffb692f118705,Anthroposophy,13,6,6
d7ff86b2b18e73804ba0f8171b8cbd13,"Rowlandson, Thomas",18,6,3
cfc586fae6f12111bd888e78255a9216,French literature--Phonorecords,31,6,6
b3320a6dfefbec1a59e47589efea8990,Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,81,6,6
4ba20289c125a41da6cc684daf01da6f,Sin,3,6,6
870982d1eeae928ba5d02562c6f521ff,"Songs (Low voice) with piano; Songs (Medium voice) with piano; Songs, German; Operas--Excerpts",94,6,6
922c15b12c7e39d37a83d206f20b45f1,Songs (High voice) with orchestra; Operas--Excerpts; Chansons (Voix aiguë) acc. d'orchestre.; Opéras--Extraits,112,5,5
bf86516d2a7376740d33738d1cfce806,Claims; Disabled veterans; Military pensions; United States. Civil War (1861-1865),82,5,5
1ba6c789b21d72c9d3b8617c2a90e1cf,Claims; Disabled veterans; Military pensions,44,5,5
91aa6c4937a4356cacca560949e8ae41,Sonatas (Piano),15,5,5
165f5aa491ed16f367fe726602d4ea14,Operas--Excerpts; Songs (High voice) with piano,47,5,5
f6bbda27db9aaf4d1e0900dba1a4db14,"Mellon, Paul--Art collections--Exhibitions; Mellon, Paul, Mrs--Art collections--Exhibitions; Painting, English--Exhibitions; Painting--Private collections; Painting, English; Painting, English--18th century--Exhibitions; Painting, English--19th century--Exhibitions; Painting, Modern--17th-18th centuries--Great Britain--Exhibitions; Painting, Modern--19th century--Great Britain--Exhibitions",392,5,5
8811e6992f223ef7419d5ab6efa3df20,Photography,11,5,5
520bc020cff88d6d99944f3ac3c216ad,"Mauriac, François, 1885-1970--Literary style; Mauriac, François, 1885-1970. Baiser au lépreux; Mauriac, François, 1885-1970. Génitrix; Mauriac, François, 1885-1970. Pharisienne",182,4,4
a4f3a82b212714f574b4d43a0a93961b,"Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",119,4,4
6b5bfbd349d97fa75f38d2e70bd7aa26,"Mauriac, François, 1885-1970--Bibliography",43,4,4
3bd04abb537df9927997a6a6aaf3e6c4,Anthroposophy; Science--Methodology,35,4,4
eb3439b96e011fd4b88c53da2adb45b9,Japanese language--Texts,24,4,4
7debcd55140013f7238d6ea941d57889,Divine right of kings; Kings and rulers,39,4,4
16656807bf49980761a82456f5e46fd,Conscience,10,4,4
3bc4af85fa1db7bb8b222431af838f55,"Ceremonial objects; Crowns; Annotations (Provenance)--18th century; Etchings--England--London--1754; Seals (artifacts)--England--18th century; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership; Kinnaird, Charles Kinnaird, Baron, 1780-1826--Ownership; Walpole, Horace, 1717-1797--Ownership; Hogarth, William, 1697-1764--Autograph; Hogarth, William, 1697-1764--Ms. notes",411,4,4
759895d971c060e2e1631ad1677ba146,"Algebra--Study and teaching; Algebra--Problems, exercises, etc; Algebra",71,4,4
dc3db9febac3b8faa139177654e440e3,"Campos, Haroldo de--Translations into English; Campos, Haroldo de--Criticism and interpretation",95,4,4
1f925884a19bac38c748c4f438554e50,"Butler, John--Diaries; Butler, John--Correspondence; Church Missionary Society; Missions--New Zealand",101,4,4
8d24b9d03d86f3c6c05eb778c8a9cb07,"Joyce, James, 1882-1941. Ulysses; Joyce, James, 1882-1941--Knowledge--Psychology; Psychological fiction, English--History and criticism; Characters and characteristics in literature; Psychoanalysis and literature--Ireland; Psychology in literature; Ireland--In literature; Joyce, James, 1882-1941 Ulysses; Joyce, James, 1882-1941--Et la psychologie; Ulysses (Joyce, James); Literature; Psychoanalysis and literature; Psychological fiction, English; Ireland; Joyce, James 1882-1941 Ulysses; Ulysses; Joyce, James",511,4,4
f1329f55351cd9008790233ef746a7ca,"Lucan, 39-65. Pharsalia",23,4,4
a6f0e62106a36cad004d9e83e6a89f2,Tuberculosis,12,4,4
17612041682aade34a68b7134dca8150,"Faulkner, William, 1897-1962--Criticism and interpretation",58,4,4
9d5e24441efdf05ebc5ecd18f7a5bfd3,"Songs (High voice) with piano; Songs (High voice) with orchestra; Songs, German; Motion picture music; Musicals--Austria--Vienna; Music--Austria--Vienna",152,4,4
b2b3c781c46d2e376541bf852c86f5ec,Education,9,4,4
3935b2ec36fe8f793cd592ba7ae3e72,String quartets; String trios,29,4,4
420ff2970a6cd427cb91637f9b41f8b3,Piano music; Scherzos,21,4,4
42aa6723f3bf65510a794eb52c62d1ed,Political sociology; Political science,38,3,3
