hash,string,length,frequency,field_count
1a491f6169f8439cb5ba6498954773e9,Cooper's novels,15,34,34
ec86f88dab74686a4a886e0b401d73d2,Lieder von Richard Strauss,26,15,15
46106646788e6c557a7e14e49369191,Part songs,10,11,11
a56e0813c8aa28f4da5fe536cdd4822,Stories of Whitminster,22,9,9
d592dec70a25c594accd455baa788695,Capriccio: highlights,21,8,8
c7323ba58b4631aefa861da94aedd5ef,Lieder and opera scenes 1942-1973,33,6,6
51ff92097e0952e536725ff981d9f980,Twenty considerations against sin,33,6,6
309e93f1c77bf017fddceb001470cb5,François Mauriac de l'Académie Française,43,6,6
e98bbf10aff2b9c0e008622820300248,"Six sermons preached by the Right Reverend Father in God, Seth Lord Bishop of Sarum",83,6,6
f1d9553c0f7117c06164798b2f977895,Painting in England 1700-1850: collection of Mr. & Mrs. Paul Mellon,67,5,5
7836f2baf12d46c7f355d3dd949419c4,Four last songs,15,5,5
361ce4359cdb9570d5957bf1c841500,"Symphonies nos. 3, 5 & 6",24,5,5
da3d2558d9094fa6b62c210cf63fae5a,Till Eulenspiegel's Merry Pranks: Don Juan ; Death and transfiguration ; Waltzes from Der Rosenkavelier,103,5,5
e02167d105d7e9dc6c53db271c0fe990,Aria and song recital,21,5,5
54806082be4475b2b126a09ccbbc96b1,"Piano sonatas: D 557, D 575, D 894",34,5,5
d75183bf440ee3d7f527d27373a12adb,Calculus tutor,14,4,4
7f85e916fc74fd6a6aa2919e9e6cd71b,Novas: selected writings,24,4,4
1650016f563efc9be27a1d00fbde30f4,Sonnets from the Portuguese,27,4,4
c2c7efa436ebbd80265101f430c5891a,Pvritano-Iesvitismvs: The Puritan tvrn'd Jesuite : or rather ovt-vying him in those diabolicall and dangerous positions of the deposition of Kings from the yeare 1536 untill this present time : extracted out of the most ancient and authentick authours : shewing their concord in the matter their discord in the manner of their sedition,335,4,4
174fe3681c72d4490975332f346b1397,Elizabeth Barrett Browning,26,4,4
b8d1c35ceadd0e79f3f7de323c65b244,"[Crowns, mitres, maces, etc.]",29,4,4
62db73e90497ebb7cee5556b2e07c16a,"A persvvassion to loyalty, or, The subject's dutie: vvherein is proved that resisting or deposing of kings (under what spccious [sic] pretences soever couched) is utterly unlawfull",180,4,4
aef47c14382fc3d3c37683ca3b353590,Les limites de la connaissance de la nature: huit conférences faites à Dornach du 27 septembre au 3 octobre 1920 pendant le premier Cours universitaire anthroposophique,170,4,4
9775c19e3444d78c11b6009fd4238cc0,"In memory of Robert Frost, March 26, 1874--January 29, 1963",59,4,4
fdb847ce710e4c0c61df1c81d2e7903e,"The vvorkes of the reverend, truly pious, and judicously learned Robert Bolton: Batchelour in Divinity, late fellow of Brasen-Nose Colledge in Oxford and Rector of Broughton in Northhampton-Shire",195,4,4
909a02566a45f240b15593f069ded542,[A rake's progress],19,4,4
b413113e09d960ffe88656db5030be2d,"Images et spiritualité dans l'œuvre romanesque de François Mauriac: Le baiser au lépreux, Génétrix [i.e. Génitrix], La pharisienne : essai",144,4,4
b4d50d5e7aeddfd8037c863fd04b306c,The cast of characters: a reading of Ulysses,44,4,4
971216ce8ba048737a9575c859f641e9,Earliest New Zealand: the journals and correspondence of the Rev. John Butler,77,4,4
731a78b5cac260b0f8c1a4d0ee854d98,Complete string quartets,24,4,4
27e28e96e2fa95fd2b0bdc21cf57c8e4,"Social statics, or, The conditions essential to human happiness specified, and the first of them developed",106,4,4
3f1f43c465cdc31ba2798b140d1c1330,"Die drei Scherzi für Klavier: The three scherzi for piano = Les trois scherzi pour piano, D 593/1-2, D 570",107,4,4
79cdbecc40f2a5ab14615bf35ff1995a,"Paris, os passeios de um flâneur",33,4,4
c7f83d5db6cb2420d544c8113268f725,Unvergessner Leo Slezak,23,4,4
75b3a19cca15e105deb062a01094aeb,Concerto lirico: for trombone and orchestra,43,4,4
cb0ca0ba4483fbe49e1fde25d27afb89,Hogarth and Europe,18,4,4
65b9b432155139fc495d2b24dfaa5c4d,"Mr. Boltons last and learned worke of the foure last things: death, iudgement, hell, and heaven : with his assise-sermon [Lent, 1630] and notes on Iustice Nicolls his funerall : together with the life and death of the author",224,3,3
4a2a2937e454b4d1d02fd5143ee40aaf,Das Lied: A Journey's Tale -- With André Tubeuf: Mozart & Beethoven or Dawn of the Lied,88,3,3
620ba602e038974c38714c92e16f06a2,"Piano sonata in D major, D 850",30,3,3
88ec2d92858adcfa814814b1ee508774,Shi ji ji jie suo yin zheng yi he kan ben; 史記集解索引正義合刻本　,55,3,3
a7ee86395a02288b9a460eae4cd2b9fc,Helpes to humiliation,21,3,3
3585ca68823452640508223e9147edd4,London,6,3,2
f075eb279dc62c98b8e4f41c95b86df6,Le cahier noir: (The black note book) ...,41,3,3
1636f61acdec09b32caf72c4c0d9df69,The melodramas,14,3,3
e7be9da2030357156345e79e6cd5a1dd,John Henry Newman: a portrait in letters,40,3,3
13e21ade9cdd3cd0fa3f3fbe2d5191d9,Georges Prêtre conducts an all-Strauss gala -- With Margaret Price: Bamberg Symphony,85,3,3
dae03f9ccc633e91fefe6d66d30f8034,"Elizabeth Barrett Browning: letters to her sister, 1846-1859",60,3,3
27de600faefdb9bb43f31ba183cc1cce,Monument to the memory of Henry Clay,36,3,3
e42e28e27274bfa5ff5d80f5a904704,"Richard Strauss begleitet Maria Reining, Anton Dermota, Lea Piltti",66,3,3
fed7902b706b84386381115ea067f38e,Camera three,12,3,3
d317cc2230d739c5769253ecb17dcfa9,Lucans poetische Technik: Studien zum historischen Epos,55,3,3
614eeaaecf4ab0a8b07a773133fd675d,Algebra 2 tutor,15,3,3
27378bb91b3f283a705e456b32f0c065,Calculus 2 advanced tutor,25,3,3
319cffca956cdc3dae326b37d13ba2d9,Sobre Finismundo--a última viagem,34,3,3
3c1f17c45a3a853b67541bfd3b4e2134,Select devotional and practical works of Bishop Hall,52,3,3
131cd72637a0f3198363a944c47ba131,"The Browning collections: Catalogue of oil paintings, drawings & prints; autograph letters and manuscripts; books; statuary, furniture, tapestries, and works of art; the property of R. W. Barrett Browning, esq.(deceased) ... including many relics of his parents, Robert and Elizabeth Barrett Browning. Which will be sold by auction, by Messers. Sotheby, Wilkinson & Hodge",371,3,3
e0ccc84af1baf37d036b144b528d88d5,Trigonometry tutor,18,3,3
d71bb6cf3237ff0e8f6580ce6987e240,Faulkner's revision of Sanctuary: a collation of the unrevised galleys and the published book,93,3,3
e367741aa21129a64060cb218f082ac3,The works of Master Poldy,25,3,3
d2669250ddb15f3fda3b5f92e3221ef1,Shi ji zhi yi; 史記志疑,19,3,3
8fc68158bb22a36ee1a56279315259a,Essays of Robert Koch,21,3,3
8163021d36704a17aa248b7df2fef003,Literature in the Early American Republic: annual studies on Cooper and his contemporaries,90,3,3
8d4b8d67d74e4f1df66670075347323a,"Mr. Boltons last and learned worke of the foure last things: death, iudgement, hell, and heaven; with his assise-sermon and notes on Iustice Nicolls his funerall; together with the life and death of the author",209,3,3
49bb73d1ca887863faedd6a3e2dd7d85,A treatise on the law of sale of personal property: with references to the American decisions and to the French code and civil law,130,3,3
6335cf122b1f05b8f8739fed0fe7f85c,Fantasy for clarinet and wind ensemble,38,3,3
2417cb1caad5c47e664bbbe305a8883e,States of desire: travels in gay America,40,3,3
baacd38d2ff44352be80167847f6818,"The Cornell Joyce collection, a catalogue",41,3,3
a672cc6aede7dbc3e2579fbd642664ea,Faulkner studies in Japan,25,3,3
dbffe41e9b9b00e03d784fb0c54010e2,Yury Revich and Friends: Young talents at the St. Urban Chamber Music Festival,78,3,3
f0ccde4cbcb608a561ce22695b56e906,Un jeune américain,19,3,3
67635fd0107752bae3f94da91b4a1fc8,These 13: holograph manuscripts and typescripts,47,3,3
b34fa8ffde98641534b7b98ba7548c13,Jin si lu ji zhu: [14 juan]; 近思錄集注: [14卷],41,3,3
470b35e2d3f9a977321d4c27bfe93ff9,"Faulkner's revision of Absalom, Absalom!: A collation of the manuscript and the published book",94,3,3
fa69c1c5fae59285173ebaabc7fcf6c3,"Arias, clarinet and piano",25,3,3
f18ce3c72b28f2790a7556654c86dd5d,The plays and poems of Nicholas Rowe,36,3,3
56bf438db8ea94a800c3cac0388c46c0,Rowlandson : watercolours and drawings,38,3,3
eb4e93f71ad50413ad82137adb7501d0,Political institutions: being part V of the Principles of sociology (the concluding portion of vol. II),103,3,3
54c1b5b4f477571f260e1e756524fd05,"Herrn Veit Ludwigs von Seckendorff ... politische und moralische Discurse über M. Annæi Lucani dreyhundert auserlesene lehrreiche Sprüche, und dessen heroische Gedichte gennant Pharsalia: ins Deutsche gebracht und dem Lateinischen auf eine sonderbare neue Manier ins deutsche gebracht, und dem lateinischen auf iedes Blatt gegen über gesetzt ...",348,3,3
b9834a6efd7412d45b3f69b6da06e60f,Bellum civile (Pharsalia): libro IV,35,3,3
cca11cde2206c059880c2d16eb9a4d6f,A New Directions reader,23,3,3
696acb7ae96f8df2c321995d9fb289c6,Whether parish congregations be true Christian churches ...,59,3,3
20a71706d3cf612407242427dc29c1cd,Gebrauchsanweisung für Paris,29,3,3
58e218f02aa0e8e6a127423b5aa2cff1,自然地理学,5,3,3
cbf483c828e3db51d237b8c53c8dc1d5,John Wesley's Sunday service of the Methodists in North America,63,3,3
f7268098166047ead5155a00fc6c2006,Herbert Spencer: Un évolutionniste contre l'étatisme,54,3,3
454184c060c484407af081ad00db4294,The lasting of the Mohicans: history of an American myth,56,3,3
fc93907ba3c388f196e38210967d9150,The spy,7,3,3
2e1e7173864f272470d6c12093324bd3,The stars,9,3,3
a1e96428f97e169266e350856c186bdf,James Joyce's techno-poetics,28,3,3
e2196335e6c6292a5f7d3a219799cf7e,The river,9,3,3
d544386ee8b2d8d09b145f7688d36815,Zhu Yuanzhang zhuan; 朱元璋傳,25,3,3
8a382fa7380e4c70ea76e3f82830bf3c,"""Je Sais Pas Vous"": 26 three-minute sketches about the classics",63,3,3
e815fe9b0c0babea2d6274c6300af1e0,"Robert Koch (1843-1910), Bakteriologe, Tuberkuloseforscher, Hygieniker: ausgewählte Texte",90,3,3
3f0846fe8577e72a83e395afcbb2c5fe,Mountain interval,17,3,3
b97ee951e233668070bc158824e632fe,Tai shi gong zi xu zhu yi; 太史公自序注译,34,3,3
cfb7a64d95652f57a95875fe9f66061b,"The poet's ramble after riches ; with, Reflections upon a country corporation ; also, The author's lamentation in the time of adversity",135,3,3
8c6d8daddd745cd044d0c57b44d31384,Exiles: a play in three acts,28,3,3
52041359622d4965f1408ceb04c306de,Noigandres,10,3,3
2a39101cc9acae469fa7310024c1cefe,"An address delivered to the inhabitants of New Lanark, on the first of January, 1816: at the opening of the Institution establish for the formation of character",160,3,3
515dee8f104863c9d7044f05b70b0bed,The boy fortune hunters in Yucatan,34,3,3
55fd3e6224d47d9088fd9c2fa0e15ed2,By the candelabra's glare: some verse,37,3,3
571dd1f0b500f46b69842b3d3ca78522,"Quintet in C, op. 163 (D. 956)",30,2,2
10b5f976269b31675a6b6a9c8e8d6965,The dismissal of Hai Jui: an epic tragedy,41,2,2
2b3000bc9735414c56b127e0dfbe052c,"Rondeau brillant in B minor, op. 70 ; Fantaisie in C major, op. 159.",68,2,2
564ce67ed28b3e66b9995dfd0e79da92,Jin si lu jin zhu jin yi: da xue wen jin zhu jin yi; 近思錄今註今譯: 大學問今註今譯,69,2,2
fb437f738a085cb74b173432eb7f4627,Poems,5,2,2
48cdc2f37f5b92fc71a0c5886bd28202,"Zhu Yuanzhang da zhuan: yi ge ping min ying xiong, yi ge xue xing huang di; 朱元璋大傳: 一個平民英雄, 一個血腥皇帝",97,2,2
79de27a0c5fcd2c5136471377503815e,The Berry papers: being the correspondence hitherto unpublished of Mary and Agnes Berry (1763-1852),99,2,2
9636844ad2dd25ac0c424ef1e5bd1dac,"An apology for the mysteries of the Gospel: being a sermon preached at White-Hall, Feb. 16, 1672/3",98,2,2
c378872328166b6198290080969aeead,"Miscellaneous tracts; viz: Some account of the character of Late the Right Honourable Henry Bilson Legge; with the letters which passed between that gentleman and Mr. Samuel Martin, relative to the Hampshire election in 1759. The budget, in 1764. The state of the nation, in 1765. A caveat in behalf of public credit, in 1768. Considerations on the marriage of His Royal Highness the Duke of Cumberland, in 1772. Observations on the memoirs of Great Britain, by Sir John Dalrymple, in 1773.",490,2,2
9c7ffe9dc5c227d9c6da1f6cc103739e,"Extracts of the journals and correspondence of Miss Berry, from the year 1783 to 1852",85,2,2
9ebf4bcec2721f84ac50d9b6dac57092,"The life of the Right Reverend Father in God, Seth, Lord Bishop of Salisbury and chancellor of the most noble Order of the Garter: with a brief account of Bishop Wilkins, Mr. Lawrence Rooke, Dr. Isaac Barrow, Dr. Turbervile, and others",235,2,2
7251303f71426e0186ea039b0032339c,De la razón antropofágica y otros ensayos,43,2,2
b6c2a551a4165f2eee997aca4ea524c3,"Henrik Ibsen's ""Peer Gynt"": introduction",40,2,2
1ed3f195f8496203f4d92966cd5287a7,Kisses: being the Basia of Iohannes Secundus,44,2,2
8ff08339e44fbd790ef11efaaab3d3a5,Dēmosthenous Logoi dēmēgorikoi dōdeka: Demosthenis Orationes de republica duodecim,86,2,2
17f155462ca2224cd22d556dec48d4b5,"The history of philosophy: containing the lives, opinions, actions and discourses of the philosophers of every sect : illustrated with the effigies of divers of them",165,2,2
490a42b034bd071bdb331ffb510e0732,The transmission and scholia to Lucan's Bellum civile,53,2,2
71831fd5bbdb9f220d17b73c13b03e4,Shi ji zhu yi; 史記注譯,19,2,2
650939e8aca32e0be8b699c9bc0b8f08,Sima Qian yu Shi ji xin tan; 司馬遷與史記新探,37,2,2
1a0f9b25cd91131b412e41b78cde646b,Aunt Jane's nieces at Millville,31,2,2
a9a0b3bbdffd5c7c90e9610584c32dbc,"West's paintings. Letter from the sons of Benjamin West, deceased, late president of the Royal Academy of London, offering to sell the government of the United States sundry paintings of that artist. December 11, 1826. Read, and laid upon the table.",249,2,2
51a61b30593def63b8e6dce4801bf3e,The Wizard of Oz,16,2,2
8bea0e42158c3c29bf433e07562067d6,Der Zauberer Oz,15,2,2
c2c22d7b267f753d0194139dc7f9f18b,It all depends on you,21,2,2
4c942d01f37563df5075f9d6f141c59b,Oz: the hundredth anniversary celebration,41,2,2
2380a4b5ecd2dd573de78a5b7543bb9f,"Letters in answer to Dr. Price's two pamphlets on civil liberty &c: with some remarks on the Parliamentary debates of last session, as they appeared in the news-papers : also copies of four letters, concerning the slavery of the colliers, coal-bearers, and salters in Scotland : addressed to the members of the House of Commons, in the year 1774",345,2,2
c464940730baca9818de92b9d8868793,"""Shi ji"" Shang Zhou shi shi xin zheng tu bu; 《史记》商周史事新证图补",57,2,2
