entity1,entity2,confidence,threshold
4748987#Agent100-14,4748987#Agent692-23,0.882425476814235,0.75
1272882#Agent700-22,14084745#Agent700-29,0.8735561183623084,0.75
15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,879630#Agent600-24,0.8694894677949739,0.75
15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,879630#Agent600-24,0.8694894677949739,0.75
15571221-15a0e7b3-d0f1-491d-8a70-bc01761e37f9#http://id.loc.gov/rwo/agents/n50027264,879630#Agent600-24,0.8682582453092521,0.75
8331885#Agent600-22,8331885#Agent700-24,0.8672410489235758,0.75
6735152#Agent600-22,999847#Agent600-22,0.8666761420629373,0.75
6735152#Agent600-23,999847#Agent600-22,0.8666761420629373,0.75
15632172#Agent600-30,15632172#Agent600-34,0.8651226305356289,0.75
15632172#Agent600-30,15632172#Agent600-33,0.8651226305356289,0.75
6735152#Agent600-22,999847#Agent700-27,0.8647963526222597,0.75
6735152#Agent600-23,999847#Agent700-27,0.8647963526222597,0.75
15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,6263286#Agent600-20,0.8647168141984387,0.75
15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,6263286#Agent600-20,0.8647168141984387,0.75
15571221-15a0e7b3-d0f1-491d-8a70-bc01761e37f9#http://id.loc.gov/rwo/agents/n50027264,6263286#Agent700-22,0.8643509152475038,0.75
15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,4839282#Agent600-24,0.8635377866487073,0.75
15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,4839282#Agent600-24,0.8635377866487073,0.75
15571221-15a0e7b3-d0f1-491d-8a70-bc01761e37f9#http://id.loc.gov/rwo/agents/n50027264,6263286#Agent600-20,0.8630592080179711,0.75
15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,6263286#Agent700-22,0.8628456574977601,0.75
15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,6263286#Agent700-22,0.8628456574977601,0.75
10791434#Agent600-23,10791434#Agent600-24,0.8626680627857999,0.75
2363610#Agent600-23,999847#Agent600-22,0.8626413701795521,0.75
1132647#Agent600-19,15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,0.8623695798399559,0.75
1132647#Agent600-19,15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,0.8623695798399559,0.75
15571221-15a0e7b3-d0f1-491d-8a70-bc01761e37f9#http://id.loc.gov/rwo/agents/n50027264,4839282#Agent600-24,0.8617785159795255,0.75
2363610#Agent600-23,999847#Agent700-27,0.8612016857015344,0.75
1132647#Agent600-19,15571221-15a0e7b3-d0f1-491d-8a70-bc01761e37f9#http://id.loc.gov/rwo/agents/n50027264,0.8605396277771156,0.75
15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,8868705#Agent600-24,0.860537075164235,0.75
15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,8868705#Agent600-24,0.860537075164235,0.75
1000632#Agent600-21,15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,0.8601724768605805,0.75
1000632#Agent600-22,15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,0.8601724768605805,0.75
1000632#Agent600-22,15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,0.8601724768605805,0.75
1000632#Agent600-21,15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,0.8601724768605805,0.75
5459924#Agent600-22,5459924#Agent600-25,0.8600368137251799,0.75
5459924#Agent600-22,5459924#Agent600-26,0.8600368137251799,0.75
