entity_id,connections,cluster_id
5989235#Agent600-17,48,11
950941#Agent700-18,35,7
389509#Agent600-29,34,1
542769#Hub240-18-Agent,34,7
542769#Agent100-17,34,7
1084254#Agent600-23,34,7
1084254#Agent700-28,34,7
2363610#Agent600-23,33,7
6735152#Agent600-23,33,7
6735152#Agent600-22,33,7
15571221-5a88eeb6-0063-4c36-a2b5-9826dd4b4c34#http://id.loc.gov/rwo/agents/n79081033,33,7
15571221-d420d4bf-22ef-4bf8-9dbb-8b369c807850#http://id.loc.gov/rwo/agents/n79081033,33,7
15571221-15a0e7b3-d0f1-491d-8a70-bc01761e37f9#http://id.loc.gov/rwo/agents/n50027264,33,7
5459924#Agent600-26,32,1
14164641#Agent600-16,32,1
5459924#Agent600-25,32,1
13895851#Agent100-14,32,11
14044585#Agent100-14,30,11
999847#Agent600-22,29,7
9588353#Agent600-19,29,11
10091191#Agent600-20,29,7
996212#Agent600-19,29,7
10091191#Agent700-23,29,7
996212#Agent600-21,29,7
996212#Agent700-22,29,7
999847#Agent700-27,29,7
2204439#Agent700-20,27,10
14490164#Agent600-20,25,0
13783332-4a4a1b63-0ed9-4070-add5-41b7ced25b75#http://id.loc.gov/rwo/agents/n96022244,24,11
4748987#Agent692-23,24,23
6063390#Agent100-13,22,4
6063389#Agent100-13,22,4
14916435#Agent100-11,22,9
13895864#Agent100-13,21,13
15632172#Agent600-34,21,13
13782780#Agent100-14,21,13
15632172#Agent600-33,21,13
14916438#Agent100-11,21,9
14916436#Agent100-11,21,9
14916439#Agent100-11,21,9
14916437#Agent100-11,21,9
6077621#Agent100-14,18,7
879630#Agent600-24,18,7
6263286#Agent700-22,18,7
8277193#Agent600-22,18,7
4839282#Agent600-24,18,7
6307481#Agent600-18,18,7
6263286#Agent600-20,18,7
8868705#Agent600-24,18,7
1000632#Agent600-22,18,7
11172403#Agent600-21,18,7
553453#Agent600-22,18,7
1132647#Agent600-19,18,7
1127990#Agent600-21,18,7
8603692#Agent600-20,18,7
553453#Hub240-15-Agent,18,7
2959831#Agent100-11,18,7
1000632#Agent600-21,18,7
553453#Agent100-14,18,7
5489307#Agent100-11,18,9
1099434#Agent100-17,18,12
1099434#Hub240-18-Agent,18,12
1193607#Agent100-13,17,0
7271089#Agent100-11,17,8
7259350#Agent100-11,17,8
2693094#Agent100-12,17,15
4616620#Agent100-17,17,12
4073271#Agent700-24,16,9
15687403#Agent100-5,16,14
7273468#Agent100-11,15,8
7370259#Agent100-11,15,8
16087402#Agent100-9,15,20
9364532#Agent700-19,14,8
878758#Agent600-26,14,12
2103845#Agent600-21,13,12
2433552#Agent700-17,13,15
15445540#Agent600-28,12,0
2278303#Agent700-18,12,5
11366290#Agent100-12,12,6
996594#Agent100-16,12,12
15477008#Agent100-12,12,22
2957451#Agent700-18,11,12
548093#Agent100-18,11,12
15952162#Agent100-12,11,3
1737312#Agent100-12,10,8
1762102#Agent100-12,10,11
2404227#Agent100-12,10,11
6269444#Agent100-15,10,12
2958200#Agent600-19,10,12
13932650#Agent100-10,10,6
6305585#Agent100-15,10,12
548572#Agent600-23,10,12
10575505#Agent600-16,9,2
6269769#Agent600-23,9,12
6269445#Agent100-15,9,12
1540#Agent700-25,9,12
1540#Agent600-23,9,12
6255540#Agent600-22,9,19
7064017#Agent100-17,9,12
733649#Agent100-14,9,12
