feature,importance,abs_importance,normalized_importance
person_cosine,0.2111708501175648,0.2111708501175648,0.21117085011756484
person_levenshtein,0.17060690384844227,0.17060690384844227,0.1706069038484423
person_subjects_product,0.13659903583458516,0.13659903583458516,0.1365990358345852
person_subjects_harmonic,0.09545612547717292,0.09545612547717292,0.09545612547717293
person_provision_harmonic,0.0835702237985779,0.0835702237985779,0.08357022379857791
composite_cosine,0.07023269283392988,0.07023269283392988,0.0702326928339299
person_title_harmonic,0.06803388020701218,0.06803388020701218,0.06803388020701219
subjects_cosine,0.05259856037927923,0.05259856037927923,0.052598560379279236
title_subjects_harmonic,0.04288112581793532,0.04288112581793532,0.04288112581793533
provision_subjects_harmonic,0.036683056572151776,0.036683056572151776,0.03668305657215178
title_provision_harmonic,0.01896830128976662,0.01896830128976662,0.018968301289766624
title_cosine,0.010117599885570771,0.010117599885570771,0.010117599885570773
composite_subjects_ratio,0.0028191179945662565,0.0028191179945662565,0.002819117994566257
provision_cosine,0.00026252594344485165,0.00026252594344485165,0.0002625259434448517
