key,value
timestamp,2025-03-07T10:14:33.689531
preprocessing_unique_strings,7327
preprocessing_records,2354
preprocessing_person_ids,2354
embedding_embeddings,7327
embedding_dimension,1536
indexing_indexed,True
classification_matches,1687
classification_threshold,0.75
classification_metrics_precision,
classification_metrics_recall,
classification_metrics_f1,
classification_metrics_accuracy,
clustering_clusters,45
clustering_algorithm,connected_components
config_mode,development
config_openai_model,text-embedding-3-small
features_total_features,14
features_feature_list,"composite_cosine,person_cosine,title_cosine,provision_cosine,subjects_cosine,person_levenshtein,person_title_harmonic,person_provision_harmonic,person_subjects_harmonic,title_subjects_harmonic,title_provision_harmonic,provision_subjects_harmonic,person_subjects_product,composite_subjects_ratio"
